family,exp_ev_ia,exp_ev_upd,bat_med,bat_shape,bat_scale,gps_med,gps_shape,gps_scale,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
weibull,60.982481695298716,71.65608977453667,14.0,0.5,29.13916573407851,38.587798044080735,0.6,71.07893224416003,1000,465,373,373,0.373,1.0,0.0,0.5950058959075609,0.6219839142091153,0.6219839142091153,71.04891994227287,64.93873300343007,80.23419727841247,0.5636716629246935,2.19288381133282,22.0,33.0
weibull,60.18205326801142,71.85493889913445,16.0,0.6,29.47208634728028,38.587798044080735,0.6,71.07893224416003,1000,460,360,360,0.36,1.0,0.0,0.5917050619466403,0.6944444444444444,0.6944444444444444,69.30611569327576,63.998148536315526,77.13006948473326,0.5747173155406495,2.093316906240479,21.0,33.0
weibull,59.44145385273082,71.01113982064683,16.5,0.5,34.34258818659253,34.97357243180279,0.7,59.03807586780019,1000,486,358,358,0.358,1.0,0.0,0.6510656606021231,0.43575418994413406,0.43575418994413406,69.711030629873,64.41639858622366,77.08759451436983,0.5846604477245926,2.0656981542224853,23.0,32.0
weibull,59.516583433647185,71.05202891709635,15.5,0.6,28.55108364892777,42.5755235841089,0.6,78.42434420947033,1000,456,356,356,0.356,1.0,0.0,0.5514208030458756,0.7837078651685393,0.7837078651685393,70.20519296826794,64.31218853663927,77.98136200453848,0.5549917752374658,2.274725652288839,21.0,34.0
weibull,60.268860574844624,71.04782140434492,16.0,0.6,29.47208634728028,42.5755235841089,0.5,88.61537413803697,1000,459,356,356,0.356,1.0,0.0,0.5572229337639961,0.7162921348314607,0.7162921348314607,71.65498654959838,64.4870301984221,82.09902448796419,0.5959439995214697,2.0112375939761264,20.0,34.0
weibull,60.21573695147279,70.90789927077253,15.0,0.6,27.63008095057526,46.975347139277204,0.5,97.77303040766209,1000,442,355,355,0.355,1.0,0.0,0.5426912158788785,0.8084507042253521,0.8084507042253521,71.1875076679477,64.81527466401293,79.62270251980031,0.586661147007438,2.0385840992092272,20.0,34.0
weibull,60.02649238157711,71.79303184310221,17.0,0.7,28.697305421391516,42.5755235841089,0.5,88.61537413803697,1000,466,354,354,0.354,1.0,0.0,0.5513497729664487,0.7740112994350282,0.7740112994350282,69.91999027932818,64.16052723830772,77.37451638910623,0.6001743918059375,1.9770206210740842,20.0,34.0
weibull,60.04652393736781,71.72784844451616,16.0,0.7,27.009228631897898,46.975347139277204,0.5,97.77303040766209,1000,476,353,353,0.353,1.0,0.0,0.5292749462025318,0.8498583569405099,0.8498583569405099,69.5272679112436,64.17941266292105,78.20555239689419,0.5900239189237186,2.037924453389304,20.0,35.0
weibull,59.152997956233776,70.72780813232853,16.0,0.7,27.009228631897898,51.82985558583315,0.5,107.87705370635337,1000,468,352,352,0.352,1.0,0.0,0.49646647773148567,0.9204545454545454,0.9204545454545454,69.73935618619632,64.43465868400989,78.05740310047513,0.5638455925864749,2.204171843035735,19.0,35.0
weibull,60.06977785703979,72.67421119733321,16.5,0.6,30.393089045632784,34.97357243180279,0.7,59.03807586780019,1000,468,351,351,0.351,1.0,0.0,0.6102915339358659,0.5726495726495726,0.5726495726495726,67.96726994681909,63.495444295033415,75.11242426904015,0.5704943923138964,2.1439346490246387,22.0,32.0
weibull,60.82178570460749,73.41667475681254,15.5,0.5,32.261219205586926,31.697863849222255,0.7999999999999999,50.1185121022287,1000,455,350,350,0.35,1.0,0.0,0.6523727961607146,0.4514285714285714,0.4514285714285714,66.913945715811,63.24422157879215,73.56118869448832,0.5706938615838059,2.171365543492981,23.0,31.0
weibull,59.772087707941466,71.43404915153738,16.5,0.6,30.393089045632784,38.587798044080735,0.6,71.07893224416003,1000,454,350,350,0.35,1.0,0.0,0.5825391029720158,0.6314285714285715,0.6314285714285715,69.71199256545485,64.37061590750217,76.72623591680463,0.594015213882569,2.0123999104732264,21.0,33.0
weibull,60.15416067722829,71.7356376756986,15.0,0.7,25.32115184240428,51.82985558583315,0.5,107.87705370635337,1000,464,349,349,0.349,1.0,0.0,0.4793408122950447,0.9484240687679083,0.9484240687679083,69.90177756645765,64.17178319118857,77.7244664495513,0.5449800133189852,2.350191422838408,19.0,35.0
weibull,59.31057657315095,71.83478766557214,16.5,0.7,27.85326702664471,42.5755235841089,0.6,78.42434420947033,1000,487,349,349,0.349,1.0,0.0,0.523259625575077,0.836676217765043,0.836676217765043,68.86987325511826,63.46644272794303,75.80790079397472,0.5626100355262331,2.1912620365974536,20.0,34.0
weibull,61.045168232724805,72.73490102816172,15.0,0.6,27.63008095057526,38.587798044080735,0.6,71.07893224416003,1000,458,348,348,0.348,1.0,0.0,0.5609222970910284,0.7557471264367817,0.7557471264367817,68.60444045825378,63.73260097526085,75.51324704862343,0.560498501660541,2.205318680022418,21.0,33.0
weibull,60.48693664298268,72.26399196656297,16.5,0.7,27.85326702664471,42.5755235841089,0.5,88.61537413803697,1000,469,348,348,0.348,1.0,0.0,0.5335871983545922,0.8333333333333334,0.8333333333333334,69.91999924244007,64.27401963263095,78.00441784800063,0.5713036999522154,2.1384404103611176,19.5,34.0
