family,exp_ev_ia,exp_ev_upd,bat_med,bat_shape,bat_scale,cure_frac,unc_med,unc_shape,unc_scale,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
cure,59.202508897100934,71.08428665273247,17.5,1.1999999999999997,23.751087401230947,0.65,5.0,2.0,6.005612043932249,1000,512,408,408,0.408,1.0,0.0,0.308225016977556,1.0,1.0,72.77342791073384,65.1903711729644,83.85867413470542,0.5817802899310787,2.0884769409050983,14.0,40.0
cure,60.50627118007116,72.0889812774991,17.0,0.9999999999999999,24.52581569511238,0.6000000000000001,6.0,1.25,8.044348584502986,1000,504,404,404,0.404,1.0,0.0,0.36032820332132176,1.0,1.0,72.476636805298,65.69515031056886,87.80120831345054,0.5726941227592572,2.1431491087630983,16.0,38.0
cure,59.87100419036693,71.28553088033794,16.5,0.7999999999999999,26.088680726889546,0.4,11.0,0.5,22.895058791061686,1000,509,403,403,0.403,1.0,0.0,0.45360305942597556,0.9776674937965261,0.9776674937965261,71.84572860106957,64.307579621914,82.79002220706856,0.5878194106576785,2.0457457094087728,18.0,36.0
cure,60.893190441822036,71.78928232091603,16.0,1.0999999999999999,22.32667800207409,0.65,4.0,1.75,4.931929623011919,1000,483,400,400,0.4,1.0,0.0,0.29944553972732146,1.0,1.0,74.39917221281483,66.1073950162435,86.8571227581121,0.5494102693886362,2.330476598969568,14.0,41.0
cure,60.23195742490666,71.12637712383696,16.5,1.0999999999999999,23.024386689638906,0.65,4.0,2.0,4.804489635145799,1000,480,400,400,0.4,1.0,0.0,0.3114800648033793,1.0,1.0,73.85643880566067,66.2538323081948,90.02029707880955,0.5725096082534942,2.168912897080828,14.0,41.0
cure,60.75052149067724,72.43877619275636,16.5,1.1999999999999997,22.393882406874894,0.65,4.0,1.75,4.931929623011919,1000,500,396,396,0.396,0.9974747474747475,0.002525252525252486,0.29374711480120885,1.0,0.9974747474747475,71.91228619137317,65.68571020040257,84.69682174950945,0.5323352517871516,2.430742051469567,13.0,41.0
cure,60.180450255782894,71.12637288318139,16.5,1.0999999999999999,23.024386689638906,0.65,4.0,1.75,4.931929623011919,1000,480,395,395,0.395,1.0,0.0,0.3106193670345504,1.0,1.0,74.16253281221489,66.21394081084614,89.49927374226617,0.5677377890255776,2.1876860292493894,14.0,41.0
cure,59.99141849242538,72.19743399652594,17.0,0.9999999999999999,24.52581569511238,0.6000000000000001,9.0,2.0,10.810101679078048,1000,505,395,395,0.395,1.0,0.0,0.3524348146328508,0.9974683544303797,0.9974683544303797,72.59433445620772,65.57310588040681,84.96791132695348,0.5444134621489773,2.3458653617897296,17.0,38.0
cure,60.638499128191455,72.43838946873296,16.5,1.1999999999999997,22.393882406874894,0.65,4.0,1.5,5.1071233892091445,1000,495,394,394,0.394,1.0,0.0,0.2958671234642162,1.0,1.0,72.05936751160588,65.03350869680729,84.62577878589596,0.5380939490826192,2.379114442169585,13.0,41.0
cure,60.17579418837134,72.21985271653185,16.5,0.9999999999999999,23.8044681746679,0.55,4.0,0.5,8.325475924022431,1000,500,393,393,0.393,1.0,0.0,0.3894094647749039,1.0,1.0,70.30743498085064,64.22323950097011,80.33035727531234,0.5735055387281678,2.144547619875847,15.0,38.0
cure,60.572623254619685,70.9888831467945,15.5,0.9999999999999999,22.361773133778936,0.65,4.0,1.25,5.362899056335324,1000,490,391,391,0.391,1.0,0.0,0.29912049828585224,1.0,1.0,76.15093591872554,67.35064986103602,94.3183239241462,0.5319589881928825,2.458201035866845,14.0,41.0
cure,59.652234764229895,71.7479539251707,17.0,1.1999999999999997,23.07248490405292,0.65,4.0,1.25,5.362899056335324,1000,505,391,391,0.391,1.0,0.0,0.29830069037459606,1.0,1.0,72.74453189265807,64.71219250423265,84.03118233387973,0.5451677048047674,2.3585749479656126,13.0,41.0
cure,59.33887558031927,71.08429286466955,17.5,1.1999999999999997,23.751087401230947,0.65,4.0,2.0,4.804489635145799,1000,475,391,391,0.391,1.0,0.0,0.3178460150088969,1.0,1.0,73.16513259441507,65.65082054437485,86.56959544717333,0.5902904770606,2.032030140052158,14.0,40.0
cure,60.898856140405755,72.34700011393583,15.5,0.7999999999999999,24.507548561623512,0.55,8.0,1.0,11.541560327111707,1000,486,390,390,0.39,1.0,0.0,0.40041659073660707,0.9897435897435898,0.9897435897435898,72.88296091277743,65.23621011823198,85.96963028122532,0.5348233383579606,2.39512311078286,18.0,37.0
cure,60.554087757236616,70.79076268539272,17.0,0.8999999999999999,25.54521252755739,0.6000000000000001,6.0,1.5,7.660685083813717,1000,474,390,390,0.39,1.0,0.0,0.36215131697545433,1.0,1.0,76.78842150367291,67.60684454461898,93.56333321987721,0.5884427357390072,2.06418224370551,17.0,38.0
cure,60.060134289398825,71.75851658353106,17.0,1.1999999999999997,23.07248490405292,0.65,4.0,2.0,4.804489635145799,1000,498,390,390,0.39,0.9974358974358974,0.002564102564102555,0.31204350904420575,1.0,0.9974358974358974,72.4499247186256,65.48133157809444,84.65127726973542,0.5733784721860071,2.1183282206047,14.0,41.0
cure,59.74767238671615,70.7530842602593,17.0,0.8999999999999999,25.54521252755739,0.6000000000000001,8.0,1.75,9.863859246023837,1000,477,389,389,0.389,1.0,0.0,0.3594183686394375,0.9974293059125964,0.9974293059125964,77.57176130205559,66.9696171937449,90.97822339878887,0.5693891674016512,2.2062676582272993,17.0,37.0
cure,59.881446237869866,71.01715295882202,18.0,0.9999999999999999,25.968510736001345,0.6000000000000001,6.0,1.5,7.660685083813717,1000,502,389,389,0.389,1.0,0.0,0.36923374051378793,1.0,1.0,74.7409165880023,66.44525360124844,88.82454223228763,0.6206580168156266,1.8465002004630091,17.0,38.0
cure,61.144903077922756,72.70938756667786,16.5,0.9999999999999999,23.8044681746679,0.6000000000000001,6.0,1.25,8.044348584502986,1000,485,387,387,0.387,1.0,0.0,0.3560724119790084,1.0,1.0,73.25455570649946,64.82577523768268,87.24337299653517,0.5629096918451814,2.227146287267502,16.0,38.0
cure,60.095590741688326,71.12637091189988,16.5,1.0999999999999999,23.024386689638906,0.65,5.0,2.0,6.005612043932249,1000,483,387,387,0.387,1.0,0.0,0.3032985818869086,1.0,1.0,74.16878434460875,66.45107989369768,89.15344583975053,0.5604352092006917,2.2387081696283215,14.0,40.0
cure,60.39858116671226,72.9598662576374,17.0,1.2999999999999998,22.536728585201946,0.65,4.0,1.5,5.1071233892091445,1000,506,387,387,0.387,1.0,0.0,0.30124910709931374,1.0,1.0,69.79035810089638,64.39060353158112,80.63630649033219,0.5468187757112456,2.3402911376702256,12.0,41.0
cure,59.70901584148969,71.02706540764562,18.0,0.9999999999999999,25.968510736001345,0.6000000000000001,7.0,1.75,8.630876840270858,1000,461,387,387,0.387,1.0,0.0,0.3626923463916625,1.0,1.0,74.46480045424704,65.81978583375502,88.81733648224018,0.5987473949146729,1.9975414146134507,17.0,38.0
cure,60.54042047116381,71.23227985304662,16.5,0.8999999999999999,24.793882747335115,0.6000000000000001,6.0,1.25,8.044348584502986,1000,473,386,386,0.386,1.0,0.0,0.35313698629734624,0.9974093264248705,0.9974093264248705,76.42411062545868,67.07657755043321,91.12234632768822,0.5628153815022381,2.2346520216045747,17.0,38.0
cure,60.993126948631534,70.85382141668069,15.5,0.7999999999999999,24.507548561623512,0.6000000000000001,7.0,1.5,8.937465931116003,1000,452,385,385,0.385,1.0,0.0,0.3522587847296243,1.0,1.0,80.87808036335312,68.52299711515037,96.81881960017895,0.5510511426898157,2.3143657417380967,17.0,38.0
cure,61.35152899845383,71.86819657109734,16.0,0.7999999999999999,25.29811464425653,0.55,5.0,0.75,8.15084666018972,1000,483,385,385,0.385,1.0,0.0,0.41808747271947533,0.987012987012987,0.987012987012987,74.72219186028556,66.373864097119,89.97834887431769,0.5986473468350932,1.9968997057922715,18.0,37.0
