family,exp_ev_ia,exp_ev_upd,exp_ev_pr3,bat_med,bat_shape,bat_scale,cure_frac,unc_med,unc_shape,unc_scale,leak_yr,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,hr_final_low,hr_final_high,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
leaky,60.057591127806944,72.91199295479804,76.926763701399,18.0,1.0,25.968510736001342,0.7000000000000001,4.0,1.5,5.1071233892091445,0.07,800,129,90,90,0.1125,1.0,0.0,0.4773952070865377,0.3428724699219615,0.6389313890765426,0.9555555555555556,0.9555555555555556,65.74672309690644,63.8157631545298,70.45174717578234,0.6433182068458962,1.704476146091448,18.0,36.0
leaky,59.941301293728756,73.10585514540404,77.26305360473881,17.0,0.8,26.879246809522563,0.5,12.0,0.5,24.976427772067296,0.09,800,122,88,88,0.11,1.0,0.0,0.4958038749129899,0.3731321417653031,0.6676503191011296,0.9545454545454546,0.9545454545454546,66.10788346884723,63.58480619909516,70.3493257526452,0.5528953274445951,2.2601677929700656,18.0,35.0
leaky,59.27155044474539,72.98018242448808,77.09191731905463,18.0,1.0,25.968510736001342,0.30000000000000004,18.0,0.5,37.464641658100945,0.0,800,139,84,84,0.105,1.0,0.0,0.4692337613313057,0.3283006618994515,0.6401214328354833,0.9523809523809523,0.9523809523809523,66.97130694537515,64.27888181574245,70.80239781098928,0.6224924482713146,1.8363405022839032,18.0,36.0
leaky,58.799036350158076,73.37008708883829,77.60567886937613,18.0,1.2000000000000002,24.429689898408977,0.6000000000000001,4.0,0.5,8.325475924022431,0.03,800,136,84,84,0.105,1.0,0.0,0.4039715518128447,0.27043038771489947,0.5685294989675171,1.0,1.0,66.37541814308781,63.68720423364171,69.56915526047658,0.5824945317087231,2.0573701931819097,16.0,38.0
leaky,59.55099059727526,73.27735395855946,77.40141799130738,18.0,1.2000000000000002,24.429689898408977,0.7000000000000001,4.0,2.0,4.804489635145799,0.05,800,129,84,84,0.105,1.0,0.0,0.3910872507041194,0.2775075101549091,0.539800373819721,1.0,1.0,66.08820528983779,63.56533318618745,70.4206779089385,0.6171911706038986,1.816864838354614,16.0,38.0
leaky,59.47320201185611,73.47915549383856,77.73216696441841,17.0,1.0,24.525815695112378,0.6000000000000001,6.0,0.5,12.488213886033648,0.06,800,114,83,83,0.10375,1.0,0.0,0.4207639317758284,0.29209756144126364,0.6080673351726726,0.9879518072289156,0.9879518072289156,65.92739799607612,63.46045171986256,69.41897933810475,0.5484278880152298,2.3349969814916576,17.0,37.0
leaky,60.16447147108941,73.29248774604812,77.42528861262207,18.0,0.8,28.460378974788597,0.2,28.0,0.5,58.27833146815702,0.1,800,129,82,82,0.1025,1.0,0.0,0.558315512127312,0.40577696333793817,0.745809702340345,0.7560975609756098,0.7560975609756098,65.83397446937106,63.33120859513373,69.25106598353304,0.6541166567345602,1.6352979320459342,20.0,34.0
leaky,59.33499046756857,72.48124185169337,76.63025147483583,17.0,0.8,26.879246809522563,0.4,20.0,0.5,41.62737962011216,0.09,800,123,81,81,0.10125,1.0,0.0,0.5156473768042825,0.3557548401488985,0.655279329495305,0.9012345679012346,0.9012345679012346,66.32732778600499,63.55490622495954,70.08121805759035,0.5727710314258291,2.1722446818181487,19.0,35.0
leaky,59.991200428259006,72.9801836023561,77.03907074360542,16.0,0.8,25.29811464425653,0.4,20.0,0.5,41.62737962011216,0.08,800,118,80,80,0.1,1.0,0.0,0.5017498888493945,0.3577439578304051,0.7311426244998269,0.9,0.9,65.70281552368536,63.45795895582481,70.37537070213396,0.5627630538219581,2.2168739216290283,19.0,35.5
leaky,58.89283199707155,72.81667850383738,77.16617238849838,18.0,0.6,33.15609714069031,0.30000000000000004,20.0,1.0,28.85390081777927,0.04,800,128,80,80,0.1,1.0,0.0,0.6643581744501165,0.4256378875570272,0.9498345059465296,0.4,0.4,65.3502306536424,63.43626922642101,69.21296631341285,0.5919486057246519,1.9965146191174972,23.0,31.0
